Title,Description,Target
The Quiet Earth,"A scientist awakens to find himself alone in the world. In a desperate attempt to search for others, he finds only two who have their own agenda.",0
Bed Rest,A pregnant woman on bed rest begins to wonder if her house is haunted or it's all in her head.,0
Ôkami kodomo no Ame to Yuki,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",1
First Love,The story is described as a poignant look at a young man's difficult entry into adulthood.,0
Friday,"Inspired by true events, this is a story of a woman who called 999, not for seeking help or support but to surrender to police. What was the reason behind it?",0
Calvary,"After he is threatened during a confession, a good-natured priest must battle the dark forces closing in around him.",1
Suite Française,"During the early years of German occupation of France in World War II, romance blooms between Lucile Angellier (Michelle Williams), a French villager, and Lieutenant Bruno von Falk (Matthias Schoenaerts), a German soldier.",1
3 Ninjas: Knuckle Up,"Rocky, Colt and Tum Tum are back in an all new adventure everyone will fall for.",0
The Prisoner of Zenda,"An Englishman on a Ruritarian holiday must impersonate the king when the rightful monarch, a distant cousin, is drugged and kidnapped.",1
Wine Country,"During a vacation to Napa Valley, a group of long time friends reunite and revisit past choices in this hilarious and heartfelt comedy from director Amy Poehler.",0
The Master of Disguise,An Italian waiter fights off a criminal mastermind with his inherited powers of disguise.,0
The Ladykillers,"An eccentric, if not charming Southern professor and his crew pose as a classical ensemble in order to rob a casino, all under the nose of his unsuspecting but sharp old landlady.",0
Communion,"In 1961, a divorced Catholic couple's life is turned upside-down when one of their two adolescent daughters is suspected of her younger sister's brutal murder during her First Holy Communion and a series of subsequent stabbings.",0
Mummies,"It follows three mummies as they end up in present-day London and embark on a journey in search of an old ring belonging to the Royal Family, stolen by the ambitious archaeologist Lord Carnaby.",0
Very Bad Things,A prostitute is killed during a bachelor party and the attendees turn on each other as the wedding approaches.,0
Curve,A soon-to-be bride on her way to a wedding rehearsal is having second thoughts and decides to take a detour. Car breaks down and a hitchiker offers help. Could it be fate?,0
Stan Helsing,"A spoof on many horror movie series. Ending his shift at the video rental, Stan's picked up by his BFF and 2 cute girls, all going to a Halloween party. Will they even get there?",0
Step Up All In,"All-stars from the previous Step Up installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers.",0
Assassins,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,0
Taken from Rio Bravo,"In 1874 Texas, two friends and an Indian scout rescue kidnapped women from sadistic traffickers near the Mexican border.",0
Monster Mash,"Dracula, the Werewolf, the Mummy and the Invisible Man must work together to stop Dr. Frankenstein from creating an unstoppable monster.",0
Thunderheart,A young mixed-blood FBI agent is assigned to work with a cynical veteran investigator on a murder on a poverty-stricken Sioux reservation.,0
All the Boys Love Mandy Lane,"A group of high-schoolers invite Mandy Lane, an innocent, desirable girl, to a weekend party on a secluded ranch. While the festivities rage on, the number of revelers begins to drop mysteriously.",0
Master i Margarita,"A writer's novel is banned and play canceled. He then conceives a satirical novel where a devil-like character metaphorically revenges those responsible. Knowing it cannot be published, his muse Margarita pushes him to write it anyway.",1
Abominable,Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.,1
A Futile and Stupid Gesture,"In the 1970s and '80s, National Lampoon's success and influence creates a new media empire overseen in part by the brilliant and troubledDouglas Kenney.",0
Baskin,A squad of unsuspecting cops go through a trapdoor to Hell when they stumble upon a Black Mass in an abandoned building.,0
Herbie: Fully Loaded,"Maggie Peyton, the new owner of Herbie, Number 53, the free-wheelin' Volkswagen bug with a mind of its own, puts the car through its paces on the road to becoming a NASCAR competitor.",0
Gigli,Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney. A beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mess up the job.,0
Mutiny on the Bounty,"In 1787, British ship Bounty leaves Portsmouth to bring a cargo of bread-fruit from Tahiti but the savage on-board conditions imposed by Captain Bligh trigger a mutiny led by officer Fletcher Christian.",1
Dark Star,"In the far reaches of space, a small crew, 20 years into their solitary mission, find things beginning to go hilariously wrong.",0
Avanpost,Life on Earth is rapidly destroyed except for a small area in Eastern Europe.,0
The Relic,"A homicide detective and an anthropologist try to destroy a South American lizard-like god, who's on a people eating rampage in a Chicago museum.",0
Swimfan,A high school senior with a promising swimming career has a one-night stand with consequences.,0
Machine Gun Preacher,Sam Childersis a former drug-dealing biker tough guy who found God and became a crusader for hundreds of Sudanese children who've been forced to become soldiers.,0
Chopping Mall,"A group of young shopping mall employees stay behind for a late night party in one of the stores. When the mall goes on lock-down before they can get out, the robot security system malfunctions, and goes on a killing spree.",0
Spree,"Thirsty for a following, Kurt Kunkle is a rideshare driver who has figured out a deadly plan to go viral.",0
J. Edgar,"J. Edgar Hoover, powerful head of the F.B.I. for nearly fifty years, looks back on his professional and personal life.",0
Organ Trail,"A young Abigale Archer alone in the Montana winter during the 1870s who fights for her survival and to retrieve her one earthly possession, a family horse, from a gang of bloodthirsty bandits.",0
